tuid,blockId,actionName,objectLogName,selectedShapeIndex,faceSelected,stageShapeIndex,explanationType,isCorrectPrediction,predictedShapeChoiceIndex,trueShapeChoiceIndex,stepActionType,lInd_0_BeforeAi,lInd_1_AfterAi,lInd_2_AfterXai,stat_1_vs_0_cnahged,stat_2_vs_0_cnahged,stat_2_vs_1_cnahged,face_0_BeforeAi,face_1_AfterAi,face_2_AfterXai,param1,param2,param3,param4,date,time
UID_zv91uL38jb94JM58Jd,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_6569,click,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_6569_SubmitRatingBtn,,5,,LLM,yes,1,1,SubmitConfidenceForShape,1,-,-,true,false,false,5,-,-,LLM,,,,15:14:27 04.06.25,1749050067
UID_zv91uL38jb94JM58Jd,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_5349,click,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_5349_SubmitRatingBtn,,5,,LLM,yes,7,7,SubmitConfidenceForShape,7,-,-,true,false,false,5,-,-,LLM,,,,15:16:05 04.06.25,1749050165
UID_Sp59WX69Ls96IJ56yH,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_4088,click,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_4088_SubmitRatingBtn,,4,,LLM,yes,6,6,SubmitConfidenceForShape,6,-,-,true,false,false,4,-,-,LLM,,,,15:16:12 04.06.25,1749050172
UID_zv91uL38jb94JM58Jd,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_219,click,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_219_SubmitRatingBtn,,3,,LLM,no,6,2,SubmitConfidenceForShape,6,-,-,true,false,false,3,-,-,LLM,,,,15:17:29 04.06.25,1749050249
UID_bv13An42XI68xl08lQ,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_4088,click,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_4088_SubmitRatingBtn,,3,,LLM,yes,6,6,SubmitConfidenceForShape,6,-,-,true,false,false,3,-,-,LLM,,,,15:19:43 04.06.25,1749050383
UID_GC64QU46gM94GA17IQ,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_429,click,confidence_rating3_stage_i0_OSExplanation_ShapeIndex_OS_429_SubmitRatingBtn,,3,,OS,no,8,7,SubmitConfidenceForShape,7,7,7,false,false,false,3,3,3,OS,,,,15:19:45 04.06.25,1749050385
UID_ml46KH20Ef19wE69ad,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_5349,click,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_5349_SubmitRatingBtn,,3,,LLM,yes,7,7,SubmitConfidenceForShape,7,-,-,true,false,false,3,-,-,LLM,,,,15:20:42 04.06.25,1749050442
UID_ml46KH20Ef19wE69ad,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_219,click,confidence_rating1_stage_i0_LLMExplanation_ShapeIndex_LLM_219_SubmitRatingBtn,,4,,LLM,no,6,2,SubmitConfidenceForShape,6,-,-,true,false,false,4,-,-,LLM,,,,15:21:32 04.06.25,1749050492
UID_GC64QU46gM94GA17IQ,confidence_rating1_stage_i0_OSExplanation_ShapeIndex_OS_1228,click,confidence_rating1_stage_i0_OSExplanation_ShapeIndex_OS_1228_SubmitRatingBtn,,4,,OS,yes,2,2,SubmitConfidenceForShape,2,-,-,true,false,false,4,-,-,OS,,,,15:22:56 04.06.25,1749050576
UID_zv91uL38jb94JM58Jd,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7108,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_7108_SubmitRatingBtn,,4,,LLM,no,8,6,SubmitConfidenceForShape,5,8,1,true,true,true,1,3,4,LLM,,,,15:23:01 04.06.25,1749050581
UID_ew60Nc39UF65Cn93Gi,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1229,click,confidence_rating3_stage_i0_LLMExplanation_ShapeIndex_LLM_1229_SubmitRatingBtn,,4,,LLM,yes,7,7,SubmitConfidenceForShape,3,7,7,true,true,false,3,4,4,LLM,,,,15:24:13 04.06.25,1749050653
