User ID,Group,Q_1_IsAnswerCorrect,Q_1_UserChoice,Q_1_Confidence,Q_2_IsAnswerCorrect,Q_2_UserChoice,Q_2_Confidence,Q_3_IsAnswerCorrect,Q_3_UserChoice,Q_3_Confidence,Q_4_IsAnswerCorrect,Q_4_UserChoice,Q_4_Confidence,Q_5_IsAnswerCorrect,Q_5_UserChoice,Q_5_Confidence,Q_6_IsAnswerCorrect,Q_6_UserChoice,Q_6_Confidence,Q_7_IsAnswerCorrect,Q_7_UserChoice,Q_7_Confidence,Q_8_IsAnswerCorrect,Q_8_UserChoice,Q_8_Confidence,Q_9_IsAnswerCorrect,Q_9_UserChoice,Q_9_Confidence,Q_10_IsAnswerCorrect,Q_10_UserChoice,Q_10_Confidence
UID_rj59nL25EH19rF46jo,1,0,3,4,0,8,3,0,3,3,0,6,5,0,3,3,0,2,3,0.0,8.0,2.0,1,5,4,0,7,5,0,6,2
UID_Kg13Va55iT81Jq55RY,1,0,5,4,1,1,4,1,4,4,0,8,5,1,7,3,0,2,4,0.0,3.0,4.0,1,5,3,1,2,5,1,7,4
UID_Rx55Xl96rW71zA44TK,1,0,5,4,0,3,3,0,3,4,0,4,3,0,2,2,1,8,4,0.0,3.0,3.0,0,1,3,0,1,3,0,2,3
UID_Xx76qm82DB76Ga15fq,1,1,1,3,1,1,5,1,4,5,0,6,4,0,3,3,0,7,5,0.0,3.0,4.0,0,2,4,1,2,4,1,7,5
UID_qC92JB80mh61lR07aE,1,0,4,5,0,8,5,0,3,5,0,6,4,0,2,5,0,1,4,0.0,8.0,5.0,0,2,5,0,4,5,0,4,4
UID_CT33tu96yv17Iu86sK,1,1,1,3,1,1,5,0,8,4,0,7,5,0,1,3,0,1,3,0.0,8.0,4.0,0,1,4,0,8,4,1,7,5
UID_xL66OA69qG55ri55Og,1,0,5,2,0,3,2,0,1,3,0,4,3,0,4,4,1,8,2,0.0,3.0,2.0,0,1,2,0,3,1,1,7,3
UID_GA00BF10NH15Ca10Us,1,0,6,1,0,7,3,0,3,3,0,3,3,0,4,3,0,6,3,0.0,3.0,2.0,1,5,3,1,2,4,0,6,4
UID_iL80HF24ty54Qe43NU,1,0,2,3,1,1,5,1,4,4,0,8,4,0,4,4,0,7,3,0.0,5.0,4.0,0,2,5,0,6,4,0,4,2
UID_sq80Gk64OB79dg81LI,1,0,5,5,0,7,4,0,3,4,0,6,5,0,5,4,0,6,4,0.0,8.0,3.0,0,6,4,1,2,5,0,8,4
UID_Ug01VR29PB69TS26gU,1,0,7,3,0,3,4,0,6,4,1,2,3,1,7,2,0,1,2,0.0,3.0,2.0,0,2,4,0,6,3,0,4,1
UID_Om41Rr26Ls98ix55PU,1,0,2,4,1,1,5,1,4,3,0,8,4,1,7,3,0,2,3,0.0,5.0,3.0,0,6,2,1,2,4,0,6,2
